name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,total_fights,win_rate,loss_rate,draw_rate,win_loss_ratio
Daniel Puder,The Beast,8,0,0,190.5,106.59,181.80887362637364,Orthodox,1981-10-09,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,43,8,1.0,0.0,0.0,8.0
Yukio Sakaguchi,The Beast,6,7,0,175.26,83.91,181.80887362637364,Orthodox,1973-07-26,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,52,13,0.46153846153846156,0.5384615384615384,0.0,0.75
Magomed Sultanakhmedov,The Beast,18,6,0,187.96,83.91,181.80887362637364,Southpaw,1987-01-21,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,38,24,0.75,0.25,0.0,2.5714285714285716
Jeff Newton,The Beast,4,2,0,187.96,92.99,181.80887362637364,Sideways,1966-12-11,0.28,20.0,1.41,52.0,0.0,0.0,0.0,8.5,58,6,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333
Emiliano Sordi,He-Man,16,7,0,187.96,92.99,181.80887362637364,Orthodox,1991-02-15,4.79,50.0,4.79,48.0,0.0,0.0,100.0,8.3,34,23,0.6956521739130435,0.30434782608695654,0.0,2.0
Erik Apple,The Beast,10,3,0,182.88,77.11,181.80887362637364,Orthodox,1977-08-26,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,48,13,0.7692307692307693,0.23076923076923078,0.0,2.5
Fazlo Mulabitinovic,The Beast,4,2,0,178.23432467873064,61.23,181.80887362637364,Orthodox,1987-01-21,0.54,16.0,0.0,100.0,0.0,0.0,0.0,8.0,38,6,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333
J.T Taylor,The Outlaw,7,7,0,177.8,77.11,181.80887362637364,Orthodox,1987-01-21,3.17,80.0,3.7,26.0,3.96,100.0,0.0,7.9,38,14,0.5,0.5,0.0,0.875
Adam Meredith,The Beast,5,3,0,187.96,77.11,181.80887362637364,Orthodox,1987-01-21,2.63,50.0,2.11,55.0,7.89,100.0,100.0,7.9,38,8,0.625,0.375,0.0,1.25
Klayton Mai,The Beast,8,3,0,175.26,56.7,181.80887362637364,Orthodox,1987-01-21,1.53,42.0,1.02,63.0,3.83,100.0,0.0,7.7,38,11,0.7272727272727273,0.2727272727272727,0.0,2.0
Ron Keslar,The Beast,11,9,0,178.23432467873064,83.91,181.80887362637364,Orthodox,1987-01-21,0.0,0.0,2.05,60.0,0.0,0.0,100.0,7.7,38,20,0.55,0.45,0.0,1.1
Bobby McAndrews,The Beast,1,3,0,178.23432467873064,77.11,181.80887362637364,Orthodox,1987-01-21,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,38,4,0.25,0.75,0.0,0.25
Ansar Chalangov,The Beast,14,5,0,175.26,77.11,181.80887362637364,Orthodox,1979-10-30,0.68,66.0,1.69,54.0,0.0,0.0,0.0,7.6,45,19,0.7368421052631579,0.2631578947368421,0.0,2.3333333333333335
Jeremiah Constant,The Beast,11,8,0,185.42,108.86,181.80887362637364,Orthodox,1974-07-19,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,51,19,0.5789473684210527,0.42105263157894735,0.0,1.2222222222222223
Paul Sass,The Beast,14,2,0,182.88,70.31,185.42,Orthodox,1988-08-04,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,37,16,0.875,0.125,0.0,4.666666666666667
Eddy Millis,The Beast,0,2,0,185.42,83.91,181.80887362637364,Orthodox,1987-01-21,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,38,2,0.0,1.0,0.0,0.0
James Lee,The Beast,15,3,0,180.34,92.99,181.80887362637364,Southpaw,1973-09-22,1.4,42.0,3.72,27.0,13.95,50.0,0.0,7.0,51,18,0.8333333333333334,0.16666666666666666,0.0,3.75
Mikhail Iloukhine,The Beast,30,11,1,175.26,92.99,181.80887362637364,Orthodox,1966-11-21,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,58,42,0.7142857142857143,0.2619047619047619,0.023809523809523808,2.5
Kyle Jensen,The Beast,4,11,2,175.26,77.11,181.80887362637364,Orthodox,1979-07-20,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,46,17,0.23529411764705882,0.6470588235294118,0.11764705882352941,0.3333333333333333
Ilya Kotau,The Beast,1,2,0,178.23432467873064,77.11,181.80887362637364,Orthodox,1987-01-21,3.94,40.0,4.38,44.0,6.57,100.0,100.0,6.6,38,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
Trevor Harris,The Beast,2,2,0,167.64,65.77,181.80887362637364,Orthodox,1987-01-21,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,38,4,0.5,0.5,0.0,0.6666666666666666
Jinnosuke Kashimura,The Beast,4,2,0,170.18,70.31,180.34,Southpaw,2001-08-12,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,24,6,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333
Tom Erikson,The Big Cat,9,4,1,190.5,127.01,181.80887362637364,Orthodox,1987-01-21,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,38,14,0.6428571428571429,0.2857142857142857,0.07142857142857142,1.8
Jason Black,The Black Legion,23,4,1,172.72,70.31,181.80887362637364,Orthodox,1972-07-15,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2,53,28,0.8214285714285714,0.14285714285714285,0.03571428571428571,4.6
Francisco France,Kiko,13,5,1,182.88,92.99,181.80887362637364,Orthodox,1987-01-21,0.54,33.0,3.51,27.0,0.0,0.0,0.0,6.1,38,19,0.6842105263157895,0.2631578947368421,0.05263157894736842,2.1666666666666665
John Albert,Prince,6,5,0,172.72,61.23,172.72,Orthodox,1986-10-13,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,38,11,0.5454545454545454,0.45454545454545453,0.0,1.0
Daniel Swain,The Beast,20,10,1,175.26,65.77,177.8,Orthodox,1991-01-30,0.8,44.0,3.2,40.0,0.0,0.0,0.0,6.0,34,31,0.6451612903225806,0.3225806451612903,0.03225806451612903,1.8181818181818181
Neiman Gracie,The Beast,6,0,0,182.88,77.11,181.80887362637364,Orthodox,1987-01-21,0.77,100.0,0.38,75.0,5.77,100.0,0.0,5.8,38,6,1.0,0.0,0.0,6.0
Shamil Gaziev,The Beast,11,0,0,193.04,120.2,198.12,Orthodox,1990-02-10,1.52,100.0,0.0,0.0,0.0,0.0,0.0,5.7,35,11,1.0,0.0,0.0,11.0
Masakatsu Funaki,The Beast,39,13,2,182.88,83.91,181.80887362637364,Southpaw,1969-03-13,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5,56,54,0.7222222222222222,0.24074074074074073,0.037037037037037035,2.7857142857142856
David Terrell,The Soul Assassin,6,2,0,185.42,83.91,181.80887362637364,Southpaw,1978-01-09,2.34,63.0,2.71,37.0,5.54,50.0,0.0,5.5,47,8,0.75,0.25,0.0,2.0
Rob MacDonald,Maximus,5,4,0,190.5,92.99,198.12,Orthodox,1978-09-05,1.8,50.0,2.04,46.0,7.19,80.0,80.0,5.4,47,9,0.5555555555555556,0.4444444444444444,0.0,1.0
Nick Barnes,The Beast,11,2,0,180.34,77.11,181.80887362637364,Orthodox,1987-01-21,2.86,29.0,8.93,51.0,5.36,100.0,100.0,5.4,38,13,0.8461538461538461,0.15384615384615385,0.0,3.6666666666666665
Matt Arroyo,No Regard,3,3,0,177.8,77.11,182.88,Orthodox,1982-09-01,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3,43,6,0.5,0.5,0.0,0.75
