name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,total_fights,win_rate,loss_rate,draw_rate,win_loss_ratio
Samy Schiavo,The Beast,10,6,0,172.72,70.31,181.80887362637364,Orthodox,1975-12-24,1.68,34.0,2.62,38.0,0.94,50.0,66.0,0.9,49,16,0.625,0.375,0.0,1.4285714285714286
Brodie Farber,The Beast,16,7,0,185.42,77.11,181.80887362637364,Orthodox,1980-07-05,1.69,45.0,2.17,53.0,0.9,50.0,20.0,0.9,45,23,0.6956521739130435,0.30434782608695654,0.0,2.0
Pete Sell,Drago,10,7,0,180.34,77.11,190.5,Orthodox,1982-08-05,2.6,42.0,3.65,51.0,0.91,21.0,47.0,0.9,43,17,0.5882352941176471,0.4117647058823529,0.0,1.25
Jason Witt,The Vanilla Gorilla,19,9,0,177.8,77.11,177.8,Orthodox,1986-11-07,2.15,44.0,2.54,52.0,6.9,48.0,100.0,0.9,38,28,0.6785714285714286,0.32142857142857145,0.0,1.9
Garett Whiteley,Goodnight,7,3,0,182.88,70.31,182.88,Orthodox,1980-12-13,3.72,48.0,4.04,46.0,0.0,0.0,27.0,0.9,44,10,0.7,0.3,0.0,1.75
Maciej Jewtuszko,Irokez,12,3,0,182.88,70.31,181.80887362637364,Southpaw,1981-01-31,2.29,45.0,1.39,66.0,0.0,0.0,42.0,0.9,44,15,0.8,0.2,0.0,3.0
Cyril Asker,Silverback,9,4,0,182.88,112.04,187.96,Orthodox,1985-12-24,3.35,39.0,5.82,35.0,4.41,62.0,100.0,0.9,39,13,0.6923076923076923,0.3076923076923077,0.0,1.8
Jumabieke Tuerxun,The Wild Wolf,19,4,1,170.18,61.23,181.80887362637364,Orthodox,1986-04-17,1.6,28.0,3.08,59.0,0.47,11.0,66.0,0.9,39,24,0.7916666666666666,0.16666666666666666,0.041666666666666664,3.8
Roosevelt Roberts,The Predator,12,5,0,187.96,70.31,185.42,Orthodox,1994-02-11,3.05,44.0,3.12,52.0,1.39,29.0,52.0,0.9,31,17,0.7058823529411765,0.29411764705882354,0.0,2.0
Maurice Smith,The Beast,12,14,0,187.96,100.24,181.80887362637364,Orthodox,1961-12-13,0.41,46.0,0.47,60.0,0.89,50.0,20.0,0.9,63,26,0.46153846153846156,0.5384615384615384,0.0,0.8
Bryan Baker,The Beast,18,5,0,190.5,83.91,181.80887362637364,Orthodox,1985-10-13,1.78,52.0,2.83,45.0,0.44,50.0,37.0,0.9,39,23,0.782608695652174,0.21739130434782608,0.0,3.0
Glover Teixeira,The Beast,33,9,0,187.96,92.99,193.04,Orthodox,1979-10-28,3.73,49.0,4.43,51.0,2.11,33.0,60.0,0.9,45,42,0.7857142857142857,0.21428571428571427,0.0,3.3
Matheus Nicolau,The Beast,19,4,1,167.64,56.7,167.64,Orthodox,1993-01-06,3.66,53.0,3.14,66.0,1.48,45.0,93.0,0.9,32,24,0.7916666666666666,0.16666666666666666,0.041666666666666664,3.8
James Krause,The,28,9,0,187.96,77.11,185.42,Orthodox,1986-06-04,4.79,49.0,4.11,61.0,0.96,18.0,59.0,0.9,39,37,0.7567567567567568,0.24324324324324326,0.0,2.8
Roger Narvaez,Silverback,8,3,0,190.5,83.91,181.80887362637364,Southpaw,1983-09-09,2.12,37.0,3.32,64.0,0.0,0.0,50.0,0.9,42,11,0.7272727272727273,0.2727272727272727,0.0,2.0
Umar Nurmagomedov,The Beast,16,0,0,172.72,61.23,175.26,Orthodox,1996-01-03,4.85,70.0,0.73,75.0,4.28,45.0,100.0,0.9,29,16,1.0,0.0,0.0,16.0
Irina Alekseeva,Russian Ronda,5,2,0,172.72,61.23,170.18,Orthodox,1990-06-27,3.84,43.0,3.55,48.0,0.87,20.0,100.0,0.9,35,7,0.7142857142857143,0.2857142857142857,0.0,1.6666666666666667
Chris Spang,The Kiss,6,3,0,187.96,77.11,181.80887362637364,Orthodox,1987-11-26,1.83,36.0,1.95,60.0,0.0,0.0,50.0,0.9,37,9,0.6666666666666666,0.3333333333333333,0.0,1.5
Tony Ferguson,El Cucuy,26,9,0,180.34,70.31,193.04,Orthodox,1984-02-12,4.98,45.0,4.26,56.0,0.42,35.0,66.0,0.9,41,35,0.7428571428571429,0.2571428571428571,0.0,2.6
Carmelo Marrero,The Fury,16,6,0,182.88,92.99,185.42,Orthodox,1981-01-26,0.84,34.0,2.04,54.0,3.21,36.0,36.0,0.9,44,22,0.7272727272727273,0.2727272727272727,0.0,2.2857142857142856
Roger Bowling,Relentless,12,6,0,175.26,70.31,172.72,Orthodox,1982-12-05,3.9,47.0,3.86,51.0,3.09,43.0,27.0,0.9,42,18,0.6666666666666666,0.3333333333333333,0.0,1.7142857142857142
Ildemar Alcantara,Marajo,21,11,0,187.96,83.91,198.12,Orthodox,1982-11-18,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9,42,32,0.65625,0.34375,0.0,1.75
Chase Beebe,The Beast,24,13,1,170.18,61.23,170.18,Orthodox,1985-03-29,2.17,38.0,1.64,69.0,2.49,42.0,41.0,0.9,40,38,0.631578947368421,0.34210526315789475,0.02631578947368421,1.7142857142857142
Ricardo Lamas,The Bully,20,8,0,172.72,65.77,180.34,Orthodox,1982-05-21,3.13,47.0,2.87,57.0,1.84,33.0,46.0,0.9,43,28,0.7142857142857143,0.2857142857142857,0.0,2.2222222222222223
Marlon Vera,Chito,21,8,1,172.72,61.23,177.8,Switch,1992-12-02,4.37,50.0,5.16,51.0,0.58,39.0,70.0,0.9,32,30,0.7,0.26666666666666666,0.03333333333333333,2.3333333333333335
Alex Karalexis,The Assassin,10,6,0,172.72,70.31,167.64,Orthodox,1977-09-20,2.57,42.0,2.39,54.0,2.7,45.0,86.0,0.9,47,16,0.625,0.375,0.0,1.4285714285714286
Curt Warburton,The Beast,13,6,0,182.88,70.31,185.42,Orthodox,1987-01-21,2.13,42.0,3.44,43.0,2.35,50.0,83.0,0.9,38,19,0.6842105263157895,0.3157894736842105,0.0,1.8571428571428572
Matt Frevola,The SteamRolla,11,4,1,175.26,70.31,180.34,Orthodox,1990-06-11,3.71,42.0,3.57,59.0,2.59,40.0,42.0,0.9,35,16,0.6875,0.25,0.0625,2.2
Blake Bilder,El Animal,8,1,1,172.72,65.77,172.72,Switch,1990-07-12,4.96,50.0,4.54,56.0,0.45,10.0,100.0,0.9,35,10,0.8,0.1,0.1,4.0
Tonya Evinger,Triple Threat,19,8,0,170.18,61.23,177.8,Orthodox,1981-06-04,1.16,42.0,4.02,38.0,0.93,30.0,33.0,0.9,44,27,0.7037037037037037,0.2962962962962963,0.0,2.111111111111111
Mike Wilkinson,The Warrior,9,4,0,170.18,65.77,167.64,Orthodox,1987-09-15,2.35,38.0,3.7,35.0,0.92,14.0,55.0,0.9,37,13,0.6923076923076923,0.3076923076923077,0.0,1.8
Diego Rivas,Pitbull,10,2,0,172.72,65.77,175.26,Orthodox,1991-11-11,1.37,40.0,2.14,52.0,1.79,60.0,64.0,0.9,33,12,0.8333333333333334,0.16666666666666666,0.0,3.3333333333333335
Mark Hominick,The Machine,20,12,0,172.72,65.77,172.72,Orthodox,1982-07-22,4.08,42.0,4.18,69.0,0.25,66.0,71.0,0.9,43,32,0.625,0.375,0.0,1.5384615384615385
Rick Story,The Horror,19,9,0,175.26,77.11,180.34,Southpaw,1984-08-28,3.8,41.0,2.17,62.0,2.53,48.0,63.0,0.9,41,28,0.6785714285714286,0.32142857142857145,0.0,1.9
Garreth McLellan,Soldier Boy,13,6,0,185.42,83.91,182.88,Southpaw,1982-09-01,3.56,54.0,2.94,45.0,1.15,22.0,34.0,0.9,43,19,0.6842105263157895,0.3157894736842105,0.0,1.8571428571428572
Dave Jansen,The Beast,20,4,0,175.26,70.31,185.42,Orthodox,1979-08-21,2.94,33.0,3.67,58.0,2.79,28.0,38.0,0.9,46,24,0.8333333333333334,0.16666666666666666,0.0,4.0
Mariya Agapova,Demonslayer,10,4,0,167.64,56.7,172.72,Southpaw,1997-04-07,4.67,55.0,3.82,52.0,0.59,66.0,47.0,0.9,28,14,0.7142857142857143,0.2857142857142857,0.0,2.0
Alex Huddleston,The Shaved Gorilla,6,2,0,200.66,115.21,181.80887362637364,Orthodox,1987-01-21,2.47,42.0,2.59,67.0,0.0,0.0,0.0,0.9,38,8,0.75,0.25,0.0,2.0
Tim Hague,The Trashing Machine,21,13,0,193.04,117.93,193.04,Orthodox,1983-05-09,2.79,47.0,4.14,46.0,1.72,33.0,85.0,0.9,42,34,0.6176470588235294,0.38235294117647056,0.0,1.5
Masanori Kanehara,The Beast,26,12,5,170.18,61.23,170.18,Orthodox,1982-11-19,1.88,49.0,1.63,62.0,1.44,50.0,63.0,0.9,42,43,0.6046511627906976,0.27906976744186046,0.11627906976744186,2.0
Tatiana Suarez,The Beast,11,0,0,165.1,52.16,167.64,Southpaw,1990-12-19,4.27,63.0,1.38,51.0,6.2,61.0,100.0,0.9,34,11,1.0,0.0,0.0,11.0
Luigi Fioravanti,The Beast,26,15,0,172.72,77.11,177.8,Orthodox,1981-01-22,2.23,42.0,2.21,69.0,3.76,63.0,67.0,0.9,44,41,0.6341463414634146,0.36585365853658536,0.0,1.625
Carlos Newton,The Ronin,16,14,0,175.26,77.11,181.80887362637364,Orthodox,1976-08-17,0.65,41.0,1.55,44.0,2.47,70.0,43.0,0.9,49,30,0.5333333333333333,0.4666666666666667,0.0,1.0666666666666667
Danilo Marques,The Beast,11,4,0,198.12,92.99,195.58,Orthodox,1985-12-26,1.44,79.0,2.52,52.0,3.93,28.0,0.0,0.8,39,15,0.7333333333333333,0.26666666666666666,0.0,2.2
Renzo Gracie,The Beast,13,7,1,177.8,83.91,181.80887362637364,Orthodox,1967-03-11,1.71,41.0,1.67,55.0,1.13,20.0,40.0,0.8,58,21,0.6190476190476191,0.3333333333333333,0.047619047619047616,1.625
Stephanie Egger,The Beast,8,4,0,167.64,61.23,172.72,Orthodox,1988-08-12,1.93,53.0,2.08,53.0,3.04,40.0,50.0,0.8,37,12,0.6666666666666666,0.3333333333333333,0.0,1.6
Austin Springer,The Beast,12,4,0,172.72,65.77,180.34,Orthodox,1987-05-12,3.54,57.0,3.15,41.0,3.37,40.0,100.0,0.8,38,16,0.75,0.25,0.0,2.4
Iuri Alcantara,Marajo,35,10,0,175.26,61.23,180.34,Southpaw,1980-08-04,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,45,45,0.7777777777777778,0.2222222222222222,0.0,3.1818181818181817
Da'Mon Blackshear,The Monster,14,6,1,177.8,61.23,182.88,Switch,1994-08-12,4.28,47.0,4.09,48.0,2.34,37.0,66.0,0.8,31,21,0.6666666666666666,0.2857142857142857,0.047619047619047616,2.0
Spencer Fisher,The King,24,9,0,170.18,70.31,172.72,Southpaw,1976-05-09,3.17,43.0,3.03,64.0,0.67,30.0,60.0,0.8,49,33,0.7272727272727273,0.2727272727272727,0.0,2.4
Kurt Pellegrino,Batman,16,7,0,172.72,70.31,177.8,Orthodox,1979-05-07,2.45,43.0,1.94,63.0,2.9,54.0,69.0,0.8,46,23,0.6956521739130435,0.30434782608695654,0.0,2.0
Trey Ogden,Samurai Ghost,16,6,0,180.34,70.31,182.88,Orthodox,1989-11-14,3.64,47.0,4.02,58.0,1.29,16.0,100.0,0.8,35,22,0.7272727272727273,0.2727272727272727,0.0,2.2857142857142856
Anderson Silva,The Spider,34,11,0,187.96,83.91,195.58,Southpaw,1975-04-14,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,50,45,0.7555555555555555,0.24444444444444444,0.0,2.8333333333333335
Carlston Harris,Mocambique,19,5,0,182.88,77.11,193.04,Orthodox,1987-07-09,2.93,49.0,2.44,53.0,2.05,29.0,55.0,0.8,38,24,0.7916666666666666,0.20833333333333334,0.0,3.1666666666666665
Jorge Santiago,The Sandman,25,12,0,185.42,77.11,190.5,Orthodox,1980-10-09,1.69,35.0,2.62,56.0,0.58,30.0,52.0,0.8,44,37,0.6756756756756757,0.32432432432432434,0.0,1.9230769230769231
Gleison Tibau,The Beast,33,14,0,177.8,70.31,180.34,Southpaw,1983-10-07,1.95,31.0,2.51,63.0,4.08,53.0,92.0,0.8,41,47,0.7021276595744681,0.2978723404255319,0.0,2.2
Josh Shockley,The Beast,11,4,0,185.42,70.31,181.80887362637364,Orthodox,1989-11-15,1.4,33.0,1.75,60.0,0.0,0.0,61.0,0.8,35,15,0.7333333333333333,0.26666666666666666,0.0,2.2
Mark Coleman,The Hammer,16,10,0,185.42,92.99,190.5,Orthodox,1964-12-20,1.88,52.0,2.62,40.0,3.89,40.0,50.0,0.8,60,26,0.6153846153846154,0.38461538461538464,0.0,1.4545454545454546
Sarah Moras,Cheesecake,6,8,0,170.18,61.23,170.18,Orthodox,1988-04-30,2.28,34.0,3.58,50.0,0.67,21.0,33.0,0.8,37,14,0.42857142857142855,0.5714285714285714,0.0,0.6666666666666666
Jimmy Ambriz,The Titan,17,21,1,187.96,142.88,181.80887362637364,Southpaw,1970-01-26,0.83,29.0,3.76,40.0,3.13,57.0,100.0,0.8,55,39,0.4358974358974359,0.5384615384615384,0.02564102564102564,0.7727272727272727
Chris Cariaso,Kamikaze,17,8,0,160.02,56.7,162.56,Southpaw,1981-05-27,3.35,43.0,2.23,61.0,1.11,39.0,57.0,0.8,44,25,0.68,0.32,0.0,1.8888888888888888
Rogerio Nogueira,Minotouro,23,10,0,187.96,92.99,190.5,Southpaw,1976-06-02,2.43,35.0,2.34,59.0,0.64,44.0,62.0,0.8,49,33,0.696969696969697,0.30303030303030304,0.0,2.090909090909091
Russell Doane,The Beast,15,8,0,170.18,61.23,177.8,Orthodox,1986-08-13,1.75,40.0,1.68,53.0,2.11,45.0,52.0,0.8,39,23,0.6521739130434783,0.34782608695652173,0.0,1.6666666666666667
Rony Jason,The Beast,14,7,0,170.18,65.77,185.42,Orthodox,1984-03-21,2.04,44.0,3.14,53.0,0.59,30.0,36.0,0.8,41,21,0.6666666666666666,0.3333333333333333,0.0,1.75
Maki Pitolo,Coconut Bombz,13,9,0,177.8,83.91,190.5,Orthodox,1990-11-24,4.1,44.0,3.93,55.0,2.24,52.0,50.0,0.8,34,22,0.5909090909090909,0.4090909090909091,0.0,1.3
Joanderson Brito,Tubarao,16,3,1,172.72,65.77,182.88,Orthodox,1995-02-11,3.32,51.0,2.62,47.0,3.4,75.0,50.0,0.8,30,20,0.8,0.15,0.05,4.0
Zhang Lipeng,The Warrior,23,9,1,180.34,70.31,180.34,Southpaw,1990-03-10,1.28,48.0,1.88,53.0,1.75,30.0,69.0,0.8,35,33,0.696969696969697,0.2727272727272727,0.030303030303030304,2.3
Francisco Prado,The Beast,12,1,0,177.8,70.31,175.26,Orthodox,2002-06-16,3.46,50.0,3.83,46.0,0.0,0.0,25.0,0.8,23,13,0.9230769230769231,0.07692307692307693,0.0,6.0
Amanda Lemos,The Beast,13,3,1,162.56,52.16,165.1,Southpaw,1987-05-22,3.54,55.0,4.66,42.0,0.82,55.0,55.0,0.8,38,17,0.7647058823529411,0.17647058823529413,0.058823529411764705,3.25
Jamie Varner,The Beast,21,11,1,172.72,70.31,180.34,Orthodox,1984-10-12,2.92,34.0,2.55,58.0,3.49,53.0,66.0,0.8,40,33,0.6363636363636364,0.3333333333333333,0.030303030303030304,1.75
Seth Baczynski,The Polish Pistola,20,14,0,190.5,77.11,190.5,Orthodox,1981-10-26,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8,43,34,0.5882352941176471,0.4117647058823529,0.0,1.3333333333333333
Jonathan Pearce,JSP,14,5,0,182.88,65.77,180.34,Switch,1992-05-01,5.6,56.0,3.35,55.0,5.29,53.0,56.0,0.8,33,19,0.7368421052631579,0.2631578947368421,0.0,2.3333333333333335
Kenny Robertson,The Beast,15,5,0,177.8,77.11,187.96,Orthodox,1984-02-14,3.72,47.0,3.02,52.0,1.37,26.0,57.0,0.8,41,20,0.75,0.25,0.0,2.5
Montserrat Conejo Ruiz,The Beast,10,4,0,152.4,52.16,154.94,Southpaw,1993-02-03,0.79,27.0,4.96,37.0,2.05,83.0,33.0,0.8,32,14,0.7142857142857143,0.2857142857142857,0.0,2.0
Khabib Nurmagomedov,The Eagle,29,0,0,177.8,70.31,177.8,Orthodox,1988-09-20,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,36,29,1.0,0.0,0.0,29.0
Gary Goodridge,Big Daddy,23,22,1,190.5,112.94,181.80887362637364,Orthodox,1966-01-17,1.84,56.0,2.14,48.0,0.4,100.0,53.0,0.8,59,46,0.5,0.4782608695652174,0.021739130434782608,1.0
Justin Buchholz,The Beast,15,10,0,182.88,70.31,185.42,Orthodox,1983-08-22,2.35,26.0,4.14,51.0,0.0,0.0,33.0,0.8,42,25,0.6,0.4,0.0,1.3636363636363635
Malcolm Gordon,X,14,7,0,170.18,56.7,180.34,Switch,1990-05-19,1.93,42.0,2.26,42.0,1.61,30.0,9.0,0.8,35,21,0.6666666666666666,0.3333333333333333,0.0,1.75
Achmed Labasanov,The Beast,7,4,0,190.5,97.52,181.80887362637364,Orthodox,1978-04-24,0.75,39.0,1.1,46.0,3.0,100.0,0.0,0.8,47,11,0.6363636363636364,0.36363636363636365,0.0,1.4
Joseph Gigliotti,Capo,7,2,0,180.34,83.91,181.80887362637364,Orthodox,1993-08-13,1.04,39.0,2.92,45.0,1.56,100.0,50.0,0.8,32,9,0.7777777777777778,0.2222222222222222,0.0,2.3333333333333335
Liang Na,The Dragon Girl,19,7,0,165.1,56.7,170.18,Orthodox,1996-07-27,1.93,40.0,4.48,27.0,5.1,60.0,0.0,0.8,29,26,0.7307692307692307,0.2692307692307692,0.0,2.375
Mike Stumpf,The Beast,11,4,0,177.8,77.11,181.80887362637364,Orthodox,1987-01-21,3.34,43.0,8.85,47.0,1.59,25.0,33.0,0.8,38,15,0.7333333333333333,0.26666666666666666,0.0,2.2
Aljamain Sterling,Funk Master,23,4,0,170.18,61.23,180.34,Orthodox,1989-07-31,4.73,52.0,2.41,58.0,1.97,24.0,45.0,0.8,36,27,0.8518518518518519,0.14814814814814814,0.0,4.6
Kevin Randleman,The Monster,17,16,0,177.8,92.99,181.80887362637364,Orthodox,1971-08-10,1.26,54.0,1.12,57.0,2.0,56.0,30.0,0.8,54,33,0.5151515151515151,0.48484848484848486,0.0,1.0
Rory Singer,Outburst,11,9,0,187.96,83.91,195.58,Orthodox,1976-05-28,2.55,39.0,2.42,63.0,0.39,25.0,64.0,0.8,49,20,0.55,0.45,0.0,1.1
Darrion Caldwell,The Wolf,10,1,0,177.8,61.23,181.80887362637364,Orthodox,1987-01-21,0.85,34.0,0.57,60.0,3.41,66.0,100.0,0.8,38,11,0.9090909090909091,0.09090909090909091,0.0,5.0
Alex Andrade,El Toro,10,5,0,180.34,90.72,181.80887362637364,Orthodox,1974-05-14,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8,51,15,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667
Antonio Silva,Bigfoot,19,12,1,193.04,119.75,208.28,Orthodox,1979-09-14,2.89,45.0,3.09,50.0,0.82,29.0,66.0,0.8,46,32,0.59375,0.375,0.03125,1.4615384615384615
Nate Marquardt,The Great,35,19,2,182.88,83.91,187.96,Orthodox,1979-04-20,2.71,49.0,2.32,55.0,1.87,51.0,70.0,0.8,46,56,0.625,0.3392857142857143,0.03571428571428571,1.75
Kevin Burns,The Fire,12,7,0,177.8,77.11,187.96,Orthodox,1980-03-03,2.74,38.0,4.3,52.0,0.28,50.0,47.0,0.8,45,19,0.631578947368421,0.3684210526315789,0.0,1.5
Vinny Magalhaes,Pezao,14,9,0,190.5,92.99,190.5,Orthodox,1984-07-02,2.14,24.0,3.97,68.0,1.55,44.0,66.0,0.8,41,23,0.6086956521739131,0.391304347826087,0.0,1.4
Frank Trigg,Twinkle Toes,21,9,0,175.26,77.11,180.34,Southpaw,1972-05-07,2.79,46.0,1.9,56.0,2.35,47.0,75.0,0.8,53,30,0.7,0.3,0.0,2.1
Montana De La Rosa,The Beast,12,9,1,170.18,56.7,172.72,Orthodox,1995-02-14,2.7,36.0,3.21,44.0,1.71,31.0,64.0,0.8,30,22,0.5454545454545454,0.4090909090909091,0.045454545454545456,1.2
Cynthia Calvillo,The Beast,9,6,1,162.56,52.16,162.56,Orthodox,1987-07-13,4.41,38.0,4.12,64.0,1.8,44.0,77.0,0.8,38,16,0.5625,0.375,0.0625,1.2857142857142858
Brock Jardine,The Machine,12,6,0,180.34,77.11,181.80887362637364,Orthodox,1985-07-10,1.06,30.0,3.34,56.0,0.0,0.0,14.0,0.8,40,18,0.6666666666666666,0.3333333333333333,0.0,1.7142857142857142
Cameron Saaiman,MSP,9,1,0,172.72,61.23,170.18,Southpaw,2000-12-20,5.28,46.0,3.24,55.0,1.0,36.0,44.0,0.8,24,10,0.9,0.1,0.0,4.5
Cat Zingano,Alpha,10,4,0,167.64,65.77,172.72,Southpaw,1982-07-01,2.57,61.0,1.63,47.0,2.77,65.0,42.0,0.8,43,14,0.7142857142857143,0.2857142857142857,0.0,2.0
Trey Waters,The Truth,8,1,0,195.58,77.11,195.58,Orthodox,1995-02-21,6.45,45.0,3.95,61.0,0.78,50.0,77.0,0.8,30,9,0.8888888888888888,0.1111111111111111,0.0,4.0
Sangwook Kim,Frogman,9,3,0,182.88,70.31,182.88,Orthodox,1993-10-17,5.57,51.0,7.94,48.0,1.65,18.0,66.0,0.8,31,12,0.75,0.25,0.0,2.25
Efrain Escudero,Hecho En Mexico,28,12,0,175.26,70.31,180.34,Orthodox,1986-01-15,2.92,44.0,2.3,63.0,1.31,40.0,66.0,0.8,39,40,0.7,0.3,0.0,2.1538461538461537
John Allan,The Beast,13,7,0,185.42,92.99,190.5,Orthodox,1993-02-22,3.56,42.0,5.74,52.0,1.4,71.0,50.0,0.8,32,20,0.65,0.35,0.0,1.625
Royce Gracie,The Beast,15,2,3,185.42,79.38,181.80887362637364,Southpaw,1966-12-12,0.88,41.0,1.13,37.0,0.0,0.0,66.0,0.8,58,20,0.75,0.1,0.15,5.0
James Head,The Beast,9,4,0,185.42,77.11,185.42,Orthodox,1984-02-09,2.75,48.0,3.11,49.0,0.41,100.0,66.0,0.8,41,13,0.6923076923076923,0.3076923076923077,0.0,1.8
Jessica Rakoczy,The Ragin',1,5,0,170.18,52.16,181.80887362637364,Orthodox,1977-04-14,2.5,44.0,3.55,64.0,0.75,20.0,0.0,0.8,48,6,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666
Kevin Lee,The Motown Phenom,18,8,0,175.26,77.11,195.58,Orthodox,1992-09-04,3.88,42.0,3.6,50.0,3.18,43.0,75.0,0.8,33,26,0.6923076923076923,0.3076923076923077,0.0,2.0
Naoyuki Kotani,The Beast,34,14,7,172.72,70.31,167.64,Southpaw,1981-12-08,1.02,31.0,2.89,50.0,0.83,16.0,46.0,0.8,43,55,0.6181818181818182,0.2545454545454545,0.12727272727272726,2.2666666666666666
Joseph Holmes,Uglyman Joe,8,4,0,193.04,83.91,203.2,Orthodox,1995-07-04,2.88,53.0,3.08,54.0,1.49,40.0,50.0,0.8,30,12,0.6666666666666666,0.3333333333333333,0.0,1.6
Dashon Johnson,Flyboy,9,2,0,170.18,65.77,181.80887362637364,Orthodox,1988-01-25,1.01,69.0,3.83,35.0,0.85,33.0,63.0,0.8,37,11,0.8181818181818182,0.18181818181818182,0.0,3.0
Domingo Pilarte,Son of Fire,8,3,0,182.88,61.23,185.42,Southpaw,1990-01-05,1.31,47.0,2.96,40.0,1.2,42.0,54.0,0.8,35,11,0.7272727272727273,0.2727272727272727,0.0,2.0
Takanori Gomi,The Fireball Kid,35,14,0,170.18,70.31,177.8,Southpaw,1978-09-22,3.81,41.0,3.52,60.0,1.23,65.0,63.0,0.8,46,49,0.7142857142857143,0.2857142857142857,0.0,2.3333333333333335
TJ Dillashaw,The Beast,18,5,0,167.64,61.23,170.18,Orthodox,1986-02-07,5.09,41.0,3.47,62.0,1.56,30.0,77.0,0.8,39,23,0.782608695652174,0.21739130434782608,0.0,3.0
Denise Gomes,Dee,8,3,0,157.48,52.16,160.02,Orthodox,1999-12-30,4.81,48.0,3.66,49.0,1.13,33.0,47.0,0.8,25,11,0.7272727272727273,0.2727272727272727,0.0,2.0
Derrick Krantz,D-Rock,22,12,0,177.8,77.11,182.88,Orthodox,1988-01-13,2.07,37.0,4.03,50.0,3.18,50.0,0.0,0.8,37,34,0.6470588235294118,0.35294117647058826,0.0,1.6923076923076923
Mark Vorgeas,The Beast,5,3,1,177.8,61.23,181.80887362637364,Orthodox,1987-01-21,3.87,32.0,4.19,51.0,0.0,0.0,50.0,0.8,38,9,0.5555555555555556,0.3333333333333333,0.1111111111111111,1.25
Gregor Gillespie,The Gift,14,1,0,170.18,70.31,180.34,Orthodox,1986-11-13,3.74,52.0,2.3,57.0,6.86,48.0,100.0,0.8,38,15,0.9333333333333333,0.06666666666666667,0.0,7.0
Tim Boetsch,The Barbarian,21,13,0,182.88,83.91,187.96,Orthodox,1981-01-28,2.93,50.0,2.9,57.0,1.45,34.0,59.0,0.8,44,34,0.6176470588235294,0.38235294117647056,0.0,1.5
Mike Kyle,MAK,22,14,1,193.04,92.99,195.58,Orthodox,1980-03-31,3.93,51.0,3.35,49.0,1.33,62.0,50.0,0.8,45,37,0.5945945945945946,0.3783783783783784,0.02702702702702703,1.4666666666666666
Marion Reneau,The Belizean Bruiser,9,8,1,167.64,61.23,172.72,Orthodox,1977-06-20,3.2,41.0,3.52,59.0,0.62,63.0,50.0,0.8,48,18,0.5,0.4444444444444444,0.05555555555555555,1.0
Justin Haskins,The Beast,7,6,0,177.8,77.11,181.80887362637364,Orthodox,1979-08-30,1.51,33.0,2.65,54.0,1.62,40.0,52.0,0.8,46,13,0.5384615384615384,0.46153846153846156,0.0,1.0
Kleydson Rodrigues,KR,8,3,0,165.1,61.23,170.18,Orthodox,1995-10-22,5.48,62.0,2.75,48.0,0.85,25.0,63.0,0.8,29,11,0.7272727272727273,0.2727272727272727,0.0,2.0
Jenel Lausa,The Beast,7,5,0,165.1,56.7,172.72,Orthodox,1988-08-01,1.44,42.0,3.53,53.0,0.55,66.0,51.0,0.8,37,12,0.5833333333333334,0.4166666666666667,0.0,1.1666666666666667
Rachael Ostovich,The Beast,4,6,0,160.02,56.7,157.48,Orthodox,1991-02-25,2.54,43.0,3.97,57.0,2.03,83.0,66.0,0.8,34,10,0.4,0.6,0.0,0.5714285714285714
Zabit Magomedsharipov,The Beast,18,1,0,185.42,65.77,185.42,Orthodox,1991-03-01,4.89,48.0,3.0,64.0,5.22,56.0,77.0,0.8,34,19,0.9473684210526315,0.05263157894736842,0.0,9.0
Kay Hansen,The Beast,7,6,0,157.48,52.16,160.02,Orthodox,1999-08-14,3.01,50.0,3.19,51.0,1.83,22.0,37.0,0.8,26,13,0.5384615384615384,0.46153846153846156,0.0,1.0
Jon Fitch,The Beast,30,7,1,182.88,77.11,187.96,Orthodox,1978-02-24,2.61,50.0,1.65,54.0,3.6,51.0,56.0,0.8,47,38,0.7894736842105263,0.18421052631578946,0.02631578947368421,3.75
Felice Herrig,Lil Bulldog,14,10,0,162.56,52.16,165.1,Orthodox,1984-09-18,3.84,37.0,5.19,48.0,1.08,28.0,75.0,0.8,40,24,0.5833333333333334,0.4166666666666667,0.0,1.2727272727272727
Joey Gambino,The Raging Warrior,9,2,0,170.18,65.77,181.80887362637364,Orthodox,1988-10-26,2.47,35.0,2.53,51.0,0.0,0.0,42.0,0.8,36,11,0.8181818181818182,0.18181818181818182,0.0,3.0
